id,updated_at,created_at,name,units,size
1,2023-02-19 03:07:40.846072,2023-02-19 03:07:40.846086,Velveeta Shells and Cheese,ounce,12.0
3,2023-02-19 03:16:31.112656,2023-02-19 03:16:31.112670,HEB black beans,ounce,16.0
4,2023-02-19 03:19:42.259929,2023-02-19 03:19:42.259937,Libby's country sausage gravy,ounce,15.0
2,2023-02-19 04:04:51.066474,2023-02-19 03:09:56.858355,"""Jiffy"" corn muffin mix",ounce,8.5
5,2023-02-19 04:07:29.732711,2023-02-19 04:07:29.732725,ranch style beans with chopped sweet onions,ounce,26.0
6,2023-02-19 04:09:32.220196,2023-02-19 04:09:32.220204,ranch style beans,ounce,15.0
7,2023-02-19 04:12:33.735384,2023-02-19 04:12:33.735392,GOYA red kidney beans,ounce,15.0
8,2023-02-19 04:14:41.651057,2023-02-19 04:14:41.651071,GOYA black beans,ounce,15.0
9,2023-02-19 04:14:50.758257,2023-02-19 04:14:50.758270,GOYA organic black beans,ounce,15.0
10,2023-02-19 04:23:37.210584,2023-02-19 04:23:37.210598,Bush's Best maple & cured bacon baked beans,ounce,28.0
11,2023-02-19 04:24:30.669660,2023-02-19 04:24:30.669674,Bush's Best original baked beans,ounce,21.0
12,2023-02-19 04:25:39.403651,2023-02-19 04:25:39.403665,HEB original baked beans,ounce,28.0
13,2023-02-19 04:27:41.488720,2023-02-19 04:27:41.488734,HEB whole kernel corn,ounce,15.25
14,2023-02-19 04:28:33.556729,2023-02-19 04:28:33.556744,HEB super sweet whole kernel corn,ounce,15.0
15,2023-02-19 04:30:43.062196,2023-02-19 04:30:43.062210,HEB green beans,ounce,14.5
16,2023-02-19 04:32:39.218545,2023-02-19 04:32:39.218559,HEB organics diced tomatoes,ounce,14.5
17,2023-02-19 04:34:41.725641,2023-02-19 04:34:41.725655,Del Monte mandarin oranges,ounce,15.0
18,2023-02-19 04:35:48.050196,2023-02-19 04:35:48.050210,Hill Country Fare pineapple chunks,ounce,20.0
